user_id,email,first_name,last_name,joined_date,street,city,state,zip,categories
006O3,7949Logan01@gmail.com,Logan,Foster,2022-10-16,90633 Lisa Alley,North Donnaborough,Wyoming,86321,"Canned Goods & Soups;Condiments, Spice, & Bake;Cookies, Snacks, & Candy;Paper, Cleaning, & Home"
0096C,buchananlynn@gmail.com,Lynn,Buchanan,2022-07-17,,,,,"Cookies, Snacks, & Candy;Deli;Fruits & Vegetables;Grains, Pasta, & Sides;Paper, Cleaning, & Home"
010JB,stanley269@gmail.com,,Harrington,2022-05-15,506 Shannon Fords,Lake Jameshaven,Hawaii,91508,
011WF,cynthia8884@gmail.com,Cynthia,Keller,2022-08-16,35622 Tanner River Apt. 050,Thomasburgh,Virginia,80919,
014TM,michael.huff78721@gmail.com,Michael,Huff,2022-04-27,587 Steven Circle Suite 384,West Elizabethtown,South Carolina,27069,"Bread & Bakery;Breakfast & Cereal;Canned Goods & Soups;Condiments, Spice, & Bake;Dairy, Eggs, & Cheese;Frozen Foods;Grains, Pasta, & Sides;Personal Care & Health;Pet Care"
01BFB,danielle48955@gmail.com,Danielle,Holmes,2022-06-19,,,,,"Baby Care;Breakfast & Cereal;Condiments, Spice, & Bake;Frozen Foods;Grains, Pasta, & Sides"
01OHT,shelly2403@gmail.com,Shelly,Phillips,2022-05-08,2626 Nelson Rue,Jamesport,Maryland,61153,
01VBF,cooklisa9508@gmail.com,,Cook,2022-05-31,401 Rachel Gardens Apt. 856,Port David,Massachusetts,46719,
029X1,tyler_smith@gmail.com,Tyler,Smith,2022-08-22,667 Derrick Cliff Apt. 774,Shaffershire,Massachusetts,72821,"Beverages;Bread & Bakery;Cookies, Snacks, & Candy;Dairy, Eggs, & Cheese;Deli;Grains, Pasta, & Sides"
03G6E,Ford37724@gmail.com,Linda,Ford,2022-08-21,709 Underwood Plains Suite 570,East Malloryberg,Kentucky,98045,Personal Care & Health
04412,Jerry11688@gmail.com,Jerry,Moore,2022-10-26,6627 Reynolds Mews,Barbarafurt,Alaska,96427,"Beverages;Breakfast & Cereal;Condiments, Spice, & Bake;Cookies, Snacks, & Candy;Dairy, Eggs, & Cheese;Frozen Foods;Meat & Seafood;Paper, Cleaning, & Home;Personal Care & Health"
04AN7,murray93@gmail.com,Stacy,Murray,2022-07-17,376 Humphrey Isle Apt. 170,Jenniferhaven,North Carolina,98212,Frozen Foods
04SI0,michaelvance34160@gmail.com,Michael,Vance,2022-05-03,2284 Wanda Station,Lake Shannon,Kansas,58933,"Beverages;Breakfast & Cereal;Canned Goods & Soups;Grains, Pasta, & Sides;Meat & Seafood;Paper, Cleaning, & Home;Personal Care & Health;Pet Care"
05I3A,castanedamel@gmail.com,Melanie,Castaneda,2022-10-06,13164 Daniels Court,South Dorothyfort,Alaska,84550,Bread & Bakery;Breakfast & Cereal;Canned Goods & Soups
05K3U,thompson6335@yahoo.com,Tara,Thompson,2022-07-19,,,,,
05M7F,kelly66@yahoo.com,Teresa,Kelly,2022-01-05,48990 Hester Turnpike Suite 152,East Christopher,West Virginia,12273,"Baby Care;Beverages;Bread & Bakery;Condiments, Spice, & Bake;Cookies, Snacks, & Candy;Dairy, Eggs, & Cheese;Meat & Seafood;Paper, Cleaning, & Home"
05TT7,Shaun1043@gmail.com,Shaun,Chavez,2022-04-21,7526 Beard Centers Suite 509,Reidmouth,Georgia,13956,"Baby Care;Bread & Bakery;Breakfast & Cereal;Canned Goods & Soups;Condiments, Spice, & Bake;Cookies, Snacks, & Candy;Frozen Foods;Grains, Pasta, & Sides;Personal Care & Health"
078O0,juan.clayton29@gmail.com,Juan,Clayton,2022-01-09,904 Hickman Station,Aprilhaven,West Virginia,10872,"Beverages;Cookies, Snacks, & Candy;Dairy, Eggs, & Cheese;Meat & Seafood"
07FHU,720Crawford32749@aol.com,Linda,Crawford,2022-08-24,58544 Robert Drives Suite 146,Andersonmouth,Nevada,24784,"Beverages;Bread & Bakery;Breakfast & Cereal;Dairy, Eggs, & Cheese;Frozen Foods;Fruits & Vegetables;Meat & Seafood;Paper, Cleaning, & Home;Personal Care & Health;Pet Care"
07RB8,zamora30@yahoo.com,Tracy,Zamora,2022-10-28,,,,,"Baby Care;Beverages;Bread & Bakery;Breakfast & Cereal;Condiments, Spice, & Bake;Cookies, Snacks, & Candy;Frozen Foods;Fruits & Vegetables;Grains, Pasta, & Sides;Paper, Cleaning, & Home;Pet Care"
084LH,christopher.brown8098@gmail.com,Christopher,Brown,2022-02-15,,,,,"Bread & Bakery;Breakfast & Cereal;Canned Goods & Soups;Condiments, Spice, & Bake;Dairy, Eggs, & Cheese;Deli;Frozen Foods;Meat & Seafood;Paper, Cleaning, & Home;Personal Care & Health;Pet Care"
08KUN,thompson_roger@gmail.com,Roger,Thompson,2022-05-21,,,,,"Beverages;Breakfast & Cereal;Canned Goods & Soups;Dairy, Eggs, & Cheese;Deli;Frozen Foods;Fruits & Vegetables;Meat & Seafood;Paper, Cleaning, & Home;Pet Care"
08NIU,clayton60@gmail.com,Clayton,Morrison,2022-03-15,,,,,"Bread & Bakery;Condiments, Spice, & Bake;Cookies, Snacks, & Candy;Paper, Cleaning, & Home;Pet Care"
